game,state
SonicTheHedgehog2-Genesis,EmeraldHillZone.Act1
SonicTheHedgehog2-Genesis,EmeraldHillZone.Act2
SonicTheHedgehog2-Genesis,ChemicalPlantZone.Act2
SonicTheHedgehog2-Genesis,ChemicalPlantZone.Act1
SonicTheHedgehog2-Genesis,MetropolisZone.Act1
SonicTheHedgehog2-Genesis,MetropolisZone.Act2
SonicTheHedgehog2-Genesis,OilOceanZone.Act1
SonicTheHedgehog2-Genesis,OilOceanZone.Act2
SonicTheHedgehog2-Genesis,MysticCaveZone.Act2
SonicTheHedgehog2-Genesis,MysticCaveZone.Act1
SonicTheHedgehog2-Genesis,HillTopZone.Act1
SonicTheHedgehog2-Genesis,CasinoNightZone.Act1
SonicTheHedgehog2-Genesis,WingFortressZone
SonicTheHedgehog2-Genesis,AquaticRuinZone.Act2
SonicTheHedgehog2-Genesis,AquaticRuinZone.Act1
