game,state
SonicTheHedgehog-Genesis,SpringYardZone.Act3
SonicTheHedgehog-Genesis,SpringYardZone.Act2
SonicTheHedgehog-Genesis,GreenHillZone.Act3
SonicTheHedgehog-Genesis,GreenHillZone.Act1
SonicTheHedgehog-Genesis,StarLightZone.Act2
SonicTheHedgehog-Genesis,StarLightZone.Act1
SonicTheHedgehog-Genesis,MarbleZone.Act2
SonicTheHedgehog-Genesis,MarbleZone.Act1
SonicTheHedgehog-Genesis,MarbleZone.Act3
SonicTheHedgehog-Genesis,ScrapBrainZone.Act2
SonicTheHedgehog-Genesis,LabyrinthZone.Act2
SonicTheHedgehog-Genesis,LabyrinthZone.Act1
SonicTheHedgehog-Genesis,LabyrinthZone.Act3
